name,price
"
SamsungGalaxy Z Fold 3","
Rs. 314,999 "
"
SamsungGalaxy S21 Ultra","
Rs. 242,999 "
"
SamsungGalaxy Note 20 Ultra","
Rs. 219,999 "
"
SamsungGalaxy Z Flip 3","
Rs. 199,999 "
"
SamsungGalaxy S21 Plus","
Rs. 184,999 "
"
SamsungGalaxy Note 20","
Rs. 179,999 "
"
SamsungGalaxy S21","
Rs. 176,499 "
"
SamsungGalaxy S20","
Rs. 170,999 "
"
SamsungGalaxy S21 FE 256GB","
Rs. 145,999 "
"
SamsungGalaxy S21 FE","
Rs. 138,500 "
"
SamsungGalaxy S20 FE","
Rs. 122,499 "
"
SamsungGalaxy S10 Lite","
Rs. 113,999 "
"
SamsungGalaxy Note 10 Lite","
Rs. 99,999 "
"
SamsungGalaxy A52s 256GB","
Rs. 88,999 "
"
SamsungGalaxy A72 256GB","
Rs. 84,999 "
"
SamsungGalaxy A72","
Rs. 82,999 "
"
SamsungGalaxy M52","
Rs. 82,999 "
"
SamsungGalaxy A52s","
Rs. 71,999 "
"
SamsungGalaxy A52","
Rs. 65,999 "
"
SamsungGalaxy M51","
Rs. 61,999 "
"
SamsungGalaxy A71","
Rs. 56,999 "
"
SamsungGalaxy A51 8GB","
 Rs. 54,999 "
"
SamsungGalaxy A51","
Rs. 49,999 "
"
SamsungGalaxy M31s","
Rs. 47,999 "
"
SamsungGalaxy M31","
Rs. 44,999 "
"
SamsungGalaxy A22 6GB","
Rs. 40,999 "
"
SamsungGalaxy A32","
Rs. 39,999 "
"
SamsungGalaxy A30s 128GB","
Rs. 38,999 "
"
SamsungGalaxy A22","
Rs. 37,999 "
"
SamsungGalaxy A30s","
Rs. 36,999 "
"
SamsungGalaxy A31","
Rs. 36,999 "
"
SamsungGalaxy A21s 128GB","
Rs. 33,999 "
"
SamsungGalaxy A20s","
Rs. 30,500 "
"
SamsungGalaxy A21s","
Rs. 29,999 "
"
SamsungGalaxy A20","
Rs. 28,500 "
"
SamsungGalaxy A12 128GB","
Rs. 27,500 "
"
SamsungGalaxy M11","
Rs. 24,999 "
"
SamsungGalaxy A12","
Rs. 24,999 "
"
SamsungGalaxy A03s 4GB","
Rs. 23,499 "
"
SamsungGalaxy A03s","
Rs. 22,499 "
"
SamsungGalaxy A10","
Rs. 21,999 "
"
SamsungGalaxy A02s 4GB","
Rs. 21,399 "
"
SamsungGalaxy A11","
Rs. 18,999 "
"
SamsungGalaxy A02s","
Rs. 18,599 "
"
SamsungGalaxy A03 Core","
Rs. 18,500 "
"
SamsungGalaxy A02 64GB","
Rs. 17,899 "
"
SamsungGalaxy A10s","
Rs. 16,999 "
"
SamsungGalaxy A02","
Rs. 16,699 "
"
SamsungGalaxy A01","
Rs. 15,999 "
"
SamsungGalaxy Note 10 Plus","
N/A "
"
SamsungGalaxy Fold","
N/A "
"
SamsungGalaxy S10","
N/A "
"
SamsungGalaxy Z Fold 2","
N/A "
"
SamsungGalaxy S10 Plus","
N/A "
"
SamsungGalaxy S20 Plus","
N/A "
"
SamsungGalaxy Z Flip","
N/A "
"
SamsungGalaxy Note 10","
Price N/A "
"
SamsungGalaxy J7 Prime","
Price N/A "
"
SamsungGalaxy J7 Pro 64GB","
Price N/A "
"
SamsungGalaxy A50","
Price N/A "
"
SamsungGalaxy S7 Edge","
Price N/A "
"
SamsungGalaxy A30","
Price N/A "
"
SamsungGalaxy Note 5","
Price N/A "
"
SamsungGalaxy S7 Edge 128GB","
Price N/A "
"
SamsungGalaxy A5 2017","
Price N/A "
"
SamsungGalaxy Core Prime","
Price N/A "
"
SamsungGalaxy A7 2017","
Price N/A "
"
SamsungGalaxy A3 2017","
Price N/A "
"
SamsungGalaxy J5 Prime","
Price N/A "
"
SamsungGalaxy A6","
Price N/A "
"
SamsungGalaxy A6 Plus 2018","
Price N/A "
"
SamsungGalaxy Note 9","
Price N/A "
"
SamsungGalaxy J5 Pro","
Price N/A "
"
SamsungGalaxy J6","
Price N/A "
"
SamsungGalaxy S9","
Price N/A "
"
SamsungGalaxy A7 2018","
Price N/A "
"
SamsungGalaxy S9 Plus 128GB","
Price N/A "
"
SamsungGalaxy C7","
Price N/A "
"
SamsungGalaxy S10 Plus 512GB","
Price N/A "
"
SamsungGalaxy J6 Plus","
Price N/A "
"
SamsungGalaxy Note 7","
Price N/A "
"
SamsungGalaxy Note 8","
Price N/A "
"
SamsungGalaxy S8 Plus","
Price N/A "
"
SamsungGalaxy A80","
Price N/A "
"
SamsungGalaxy S8","
Price N/A "
"
SamsungGalaxy Note 9 512GB","
Price N/A "
"
SamsungGalaxy Grand Prime","
Price N/A "
"
SamsungGalaxy S9 Plus","
Price N/A "
"
SamsungGalaxy Grand Prime Pro","
Price N/A "
"
SamsungGalaxy S20 Ultra","
Price N/A "
"
SamsungGalaxy A70","
Price N/A "
"
SamsungGalaxy A22e","
Expected Price Rs. 33,999 "
"
SamsungGalaxy M33","
Expected Price Rs. 35,999 "
"
SamsungGalaxy S22 Note","
Expected Price Rs. 234,999 "
"
SamsungGalaxy A23","
Expected Price Rs. 43,999 "
"
SamsungGalaxy A53","
Expected Price Rs. 79,999 "
"
SamsungGalaxy A03","
Expected Price Rs. 17,999 "
